Pla,Loc,Track,Going,Dist,Draw,JW,AW,Time,WOdd,Class
1,0,0,2,1600,1,119,1088,94.38,5.1,5
2,0,0,2,1600,4,120,1160,95.03,2.4,5
3,0,0,2,1600,2,118,1086,95.21,8.4,5
4,0,0,2,1600,10,114,1134,95.3,23,5
5,0,0,2,1600,9,121,1165,95.31,21,5
6,0,0,2,1600,3,121,1070,95.5,14,5
7,0,0,2,1600,5,125,1060,95.61,30,5
8,0,0,2,1600,8,120,1151,95.86,20,5
9,0,0,2,1600,6,119,1158,95.9,11,5
10,0,0,2,1600,7,118,980,96.48,6.7,5
1,0,0,2,1200,4,130,1109,68.27,3.3,1
2,0,0,2,1200,7,123,1082,68.34,7.7,1
3,0,0,2,1200,2,113,1175,68.67,4.2,1
4,0,0,2,1200,3,110,1261,68.74,18,1
5,0,0,2,1200,1,133,1149,69.19,9.9,1
6,0,0,2,1200,6,111,1191,69.27,4,1
7,0,0,2,1200,5,110,1137,69.7,7.1,1
1,0,0,2,1200,7,107,1159,69.69,8.2,5
2,0,0,2,1200,3,121,1037,69.7,31,5
3,0,0,2,1200,11,132,1144,70,10,5
4,0,0,2,1200,5,124,1143,70.09,3.4,5
5,0,0,2,1200,1,120,1147,70.22,22,5
6,0,0,2,1200,13,128,1072,70.31,11,5
7,0,0,2,1200,2,125,1140,70.53,9.4,5
8,0,0,2,1200,12,126,1194,70.73,30,5
9,0,0,2,1200,9,118,1060,70.73,14,5
10,0,0,2,1200,4,126,1066,70.84,22,5
11,0,0,2,1200,6,119,1144,70.91,3.9,5
12,0,0,2,1200,10,115,1149,70.96,122,5
13,0,0,2,1200,8,128,1116,71.05,57,5
14,0,0,2,1200,14,133,1135,71.5,118,5
1,0,0,2,1200,9,127,1094,69.71,1.8,4
2,0,0,2,1200,3,124,1150,69.84,27,4
3,0,0,2,1200,7,118,1119,69.95,10,4
4,0,0,2,1200,2,123,1138,69.99,29,4
5,0,0,2,1200,5,118,1065,70.19,14,4
6,0,0,2,1200,8,133,1186,70.27,6.5,4
7,0,0,2,1200,1,126,1041,70.27,14,4
8,0,0,2,1200,11,127,1082,70.45,22,4
9,0,0,2,1200,12,120,1088,70.62,31,4
10,0,0,2,1200,6,110,1082,70.82,16,4
11,0,0,2,1200,13,115,1220,70.89,89,4
12,0,0,2,1200,10,119,1126,71.09,22,4
13,0,0,2,1200,4,130,1133,71.34,50,4
1,0,0,2,1400,1,120,1053,82.28,8.9,4
2,0,0,2,1400,5,129,1100,82.34,5.2,4
3,0,0,2,1400,7,118,1004,82.35,8.8,4
4,0,0,2,1400,12,122,1088,82.45,9.3,4
5,0,0,2,1400,3,121,1013,82.7,11,4
6,0,0,2,1400,6,126,1154,82.92,3,4
7,0,0,2,1400,2,124,1111,83.02,11,4
8,0,0,2,1400,9,118,1077,83.12,38,4
9,0,0,2,1400,11,132,1075,83.56,7.5,4
10,0,0,2,1400,8,121,1102,84.71,80,4
11,0,0,2,1400,10,118,1189,86.29,102,4
1,0,0,2,1000,4,116,1305,56.55,6.6,3
2,0,0,2,1000,3,119,1099,56.63,2.4,3
3,0,0,2,1000,1,130,1128,56.71,3.5,3
4,0,0,2,1000,2,110,1078,56.87,8.2,3
5,0,0,2,1000,7,120,1165,56.99,12,3
6,0,0,2,1000,8,133,1143,57.08,16,3
7,0,0,2,1000,6,113,1194,57.44,12,3
8,0,0,2,1000,5,113,1173,58.01,35,3
1,0,0,2,1400,7,125,1117,81.86,24,3
2,0,0,2,1400,6,131,1091,81.88,50,3
3,0,0,2,1400,3,118,1156,82.22,12,3
4,0,0,2,1400,5,117,1098,82.28,9.5,3
5,0,0,2,1400,2,118,1125,82.31,12,3
6,0,0,2,1400,8,117,1149,82.5,2,3
7,0,0,2,1400,1,129,1039,82.51,10,3
8,0,0,2,1400,4,127,999,85.87,3.5,3
1,0,0,2,1200,5,127,1076,69.27,11,3
2,0,0,2,1200,3,118,1242,69.43,3.2,3
3,0,0,2,1200,1,123,1259,69.44,9.1,3
4,0,0,2,1200,4,133,1114,69.47,11,3
5,0,0,2,1200,8,130,1198,69.65,9.9,3
6,0,0,2,1200,7,120,1064,69.85,43,3
7,0,0,2,1200,9,121,1160,69.96,3.6,3
8,0,0,2,1200,10,123,1035,70.06,13,3
9,0,0,2,1200,11,126,1116,70.15,8.4,3
10,0,0,2,1200,2,128,1022,70.38,64,3
11,0,0,2,1200,6,125,1020,70.61,120,3
1,0,0,2,1400,10,117,1077,81.44,17,2
2,0,0,2,1400,13,133,1150,81.44,2.9,2
3,0,0,2,1400,7,130,1036,81.49,6.9,2
4,0,0,2,1400,4,120,1093,81.56,40,2
5,0,0,2,1400,8,115,1186,81.66,19,2
6,0,0,2,1400,3,121,1096,81.75,8.3,2
7,0,0,2,1400,5,113,1106,81.8,8.8,2
8,0,0,2,1400,1,114,1182,81.96,7,2
9,0,0,2,1400,2,127,1067,82.09,7.2,2
10,0,0,2,1400,9,116,1239,82.53,91,2
11,0,0,2,1400,12,113,1266,82.59,141,2
12,0,0,2,1400,6,119,1283,82.7,18,2
13,0,0,2,1400,11,119,1193,82.86,123,2
1,0,0,2,1400,3,121,1164,81.72,8,1
2,0,0,2,1400,2,118,1146,81.85,1.4,1
3,0,0,2,1400,1,124,1064,82.03,3.2,1
4,0,0,2,1400,5,118,1233,82.28,25,1
5,0,0,2,1400,4,129,1061,82.33,18,1
1,0,0,2,1600,6,133,1056,94.91,2.3,3
2,0,0,2,1600,1,133,1103,94.94,4.9,3
3,0,0,2,1600,8,126,1140,95.14,7.3,3
4,0,0,2,1600,3,130,1185,95.29,4.5,3
5,0,0,2,1600,4,110,1144,95.32,17,3
6,0,0,2,1600,7,129,1129,95.4,9,3
7,0,0,2,1600,5,130,1049,95.48,44,3
8,0,0,2,1600,2,124,1080,96.17,33,3
1,0,0,1,1400,7,130,1255,82.13,3.7,5
2,0,0,1,1400,10,129,1165,82.2,7.2,5
3,0,0,1,1400,3,129,1070,82.63,3.9,5
4,0,0,1,1400,1,124,970,82.7,7.9,5
5,0,0,1,1400,8,130,1269,83.01,66,5
6,0,0,1,1400,6,122,1071,83.1,25,5
7,0,0,1,1400,9,113,1096,83.12,9,5
8,0,0,1,1400,2,129,1110,83.92,23,5
9,0,0,1,1400,11,130,1063,84.53,10,5
10,0,0,1,1400,4,118,1045,85.01,12,5
11,0,0,1,1400,5,131,1033,85.3,29,5
1,0,0,1,1200,7,133,1111,69.4,2.9,4
2,0,0,1,1200,4,115,1035,69.56,11,4
3,0,0,1,1200,2,129,1060,69.57,11,4
4,0,0,1,1200,5,127,1125,69.59,2.9,4
5,0,0,1,1200,9,127,1131,69.84,15,4
6,0,0,1,1200,1,114,1054,69.98,26,4
7,0,0,1,1200,3,130,1063,69.99,37,4
8,0,0,1,1200,8,124,1176,70.01,5.3,4
9,0,0,1,1200,10,115,1063,70.24,105,4
10,0,0,1,1200,6,112,1051,72.41,28,4
1,0,1,2,1200,6,114,1208,70.06,9.2,4
2,0,1,2,1200,9,120,1193,70.15,14,4
3,0,1,2,1200,7,118,1257,70.52,5.3,4
4,0,1,2,1200,1,113,1204,70.68,6.3,4
5,0,1,2,1200,4,128,1118,70.83,3.8,4
6,0,1,2,1200,5,127,1157,71.02,6.2,4
7,0,1,2,1200,3,124,1094,71.08,8.7,4
8,0,1,2,1200,8,120,1081,71.16,21,4
9,0,1,2,1200,2,126,1114,71.61,9.6,4
1,0,0,1,1600,5,131,1009,94.41,24,4
2,0,0,1,1600,10,119,1071,94.52,14,4
3,0,0,1,1600,7,123,1118,94.72,13,4
4,0,0,1,1600,6,130,1048,95.02,17,4
5,0,0,1,1600,4,129,1141,95.06,6.4,4
6,0,0,1,1600,9,128,1123,95.19,11,4
7,0,0,1,1600,2,115,1089,95.65,7.6,4
8,0,0,1,1600,3,126,1145,95.8,2.6,4
9,0,0,1,1600,1,120,1169,96.52,7.1,4
10,0,0,1,1600,8,110,1081,96.73,12,4
1,0,0,1,1400,1,117,1238,82.34,8.4,4
2,0,0,1,1400,5,126,979,82.36,4.2,4
3,0,0,1,1400,6,133,1080,82.57,2.5,4
4,0,0,1,1400,3,122,1071,82.86,134,4
5,0,0,1,1400,4,131,1114,82.95,4.3,4
6,0,0,1,1400,8,119,1095,82.97,34,4
7,0,0,1,1400,9,126,1128,83.16,9.8,4
8,0,0,1,1400,11,119,1043,83.54,145,4
9,0,0,1,1400,7,120,1174,83.6,64,4
10,0,0,1,1400,10,122,1177,83.76,17,4
11,0,0,1,1400,2,126,1016,84.13,49,4
1,0,1,2,1200,10,126,1087,69.34,11,3
2,0,1,2,1200,3,133,1145,69.45,8,3
3,0,1,2,1200,8,119,1196,69.53,3.2,3
4,0,1,2,1200,2,129,1131,69.91,15,3
5,0,1,2,1200,12,124,1254,69.97,14,3
6,0,1,2,1200,7,116,1155,70.17,37,3
7,0,1,2,1200,11,129,1112,70.21,9.4,3
8,0,1,2,1200,6,132,1179,70.65,19,3
9,0,1,2,1200,9,113,1026,71.4,110,3
10,0,1,2,1200,5,129,1140,71.55,15,3
11,0,1,2,1200,1,126,1131,72.26,8.1,3
12,0,1,2,1200,4,126,1167,73.34,5.8,3
1,0,0,1,1200,2,121,1087,69.27,14,3
2,0,0,1,1200,1,116,1205,69.61,7.7,3
3,0,0,1,1200,3,116,1267,69.65,1.9,3
4,0,0,1,1200,8,126,1106,69.68,22,3
5,0,0,1,1200,5,133,1163,69.76,4.6,3
6,0,0,1,1200,4,125,1053,69.81,9.9,3
7,0,0,1,1200,7,127,1125,69.94,81,3
8,0,0,1,1200,11,131,1127,70.16,169,3
9,0,0,1,1200,6,109,1051,70.39,28,3
10,0,0,1,1200,10,121,1125,70.65,74,3
11,0,0,1,1200,12,125,1045,70.97,16,3
12,0,0,1,1200,9,121,1130,71.96,212,3
1,0,1,2,1200,7,130,1176,69.73,11,5
2,0,1,2,1200,5,119,1163,69.87,9.4,5
3,0,1,2,1200,4,120,1139,70.01,7.8,5
4,0,1,2,1200,2,128,1099,70.04,10,5
5,0,1,2,1200,12,125,1080,70.32,7.6,5
6,0,1,2,1200,6,129,988,70.44,5.7,5
7,0,1,2,1200,9,123,1035,70.56,10,5
8,0,1,2,1200,10,127,1206,70.59,7.8,5
9,0,1,2,1200,3,117,1061,70.76,24,5
