Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,6,NOBLE DE BOY(T373),K C Leung,Y S Tsui,123,1056,9,-,10 10 1 ,1:11.65,25,18-19-12,Class 5,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
2,8,SNOWHOOVES(S409),Z Purton,W Y So,120,1086,1,1/2,3 5 2 ,1:11.73,2.6,18-19-12,Class 5,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
3,5,YOUNG DREAMER(T378),C Wong,A T Millard,115,1155,3,1,2 1 3 ,1:11.83,6.2,18-19-12,Class 5,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
4,2,ROOKIE STAR(A384),K Teetan,P F Yiu,125,992,10,1-1/4,7 6 4 ,1:11.86,10,18-19-12,Class 5,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
5,4,STARLOT(V367),C Schofield,R Gibson,125,1173,5,2-1/2,6 7 5 ,1:12.03,4.7,18-19-12,Class 5,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
6,7,HAPPY HAPPY(A348),N Callan,L Ho,122,1144,2,3,4 4 6 ,1:12.13,8.5,18-19-12,Class 5,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
7,3,SHOWING CHARACTER(T289),U Rispoli,D E Ferraris,125,1086,8,4-1/2,9 9 7 ,1:12.37,11,18-19-12,Class 5,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
8,10,IDYLLIC WIND(N139),M Chadwick,C W Chang,118,1220,4,5,5 3 8 ,1:12.45,15,18-19-12,Class 5,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
9,9,THE CHAMP(V271),A Sanna,F C Lor,119,1051,6,5-1/2,8 8 9 ,1:12.52,26,18-19-12,Class 5,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
10,1,HAVEN STREET(B174),H T Mo,C S Shum,123,988,7,28,1 2 10 ,1:16.11,90,18-19-12,Class 5,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"

1,3,MOST BEAUTIFUL(A022),H T Mo,C S Shum,124,1172,8,-,10 9 1 ,0:58.18,17,18-19-13,Class 4,HV,1000M,GOOD TO FIRM,"T-1F - ""B"" Course"
2,2,MR RIGHT(T334),N Callan,L Ho,133,1252,10,1-1/4,1 1 2 ,0:58.39,12,18-19-13,Class 4,HV,1000M,GOOD TO FIRM,"T-1F - ""B"" Course"
3,10,RAICHU(V414),G van Niekerk,D E Ferraris,115,1010,5,2-1/2,9 10 3 ,0:58.59,22,18-19-13,Class 4,HV,1000M,GOOD TO FIRM,"T-1F - ""B"" Course"
4 ,1,FLYING MONKEY(T361),K C Leung,T P Yung,133,1081,4,3,5 6 4 ,0:58.65,8.3,18-19-13,Class 4,HV,1000M,GOOD TO FIRM,"T-1F - ""B"" Course"
4 ,5,COUNTRY STAR(B396),Z Purton,J Size,125,1068,7,3,8 8 4 ,0:58.65,3,18-19-13,Class 4,HV,1000M,GOOD TO FIRM,"T-1F - ""B"" Course"
6,6,BLITZING(B290),K C Ng,A S Cruz,118,1155,9,4,3 3 6 ,0:58.80,27,18-19-13,Class 4,HV,1000M,GOOD TO FIRM,"T-1F - ""B"" Course"
7,9,OCEAN ROAR(N317),H N Wong,K H Ting,115,1170,6,4,6 5 7 ,0:58.82,10,18-19-13,Class 4,HV,1000M,GOOD TO FIRM,"T-1F - ""B"" Course"
8,7,WINFULL PATROL(P063),C Wong,R Gibson,110,1233,3,5,2 2 8 ,0:58.99,16,18-19-13,Class 4,HV,1000M,GOOD TO FIRM,"T-1F - ""B"" Course"
9,4,BORNTOACHIEVE(T313),M L Yeung,Y S Tsui,126,1133,1,5-1/2,4 4 9 ,0:59.07,51,18-19-13,Class 4,HV,1000M,GOOD TO FIRM,"T-1F - ""B"" Course"
10,8,PEARLY TREAS-1E(B117),D Whyte,W Y So,119,1080,2,6,7 7 10 ,0:59.13,2.7,18-19-13,Class 4,HV,1000M,GOOD TO FIRM,"T-1F - ""B"" Course"

1,10,UNIVERSAL GO GO(B132),C Y Ho,K W Lui,116,1105,1,-,4 4 1 ,1:11.36,13,18-19-14,Class 4,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
2,3,LOTUS BREEZE(T112),D Whyte,W Y So,124,1105,7,SH,2 2 2 ,1:11.36,9.6,18-19-14,Class 4,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
3,1,WINNING SUPREME(A351),C Wong,Y S Tsui,120,1125,8,1/2,1 1 3 ,1:11.44,4.6,18-19-14,Class 4,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
4,5,FLYING FORCE(V014),G van Niekerk,C S Shum,123,1045,10,1/2,9 8 4 ,1:11.46,10,18-19-14,Class 4,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
5,8,CAPTAIN BOSS(B096),K Teetan,L Ho,120,1149,3,1,7 7 5 ,1:11.51,5.2,18-19-14,Class 4,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
6,4,BUNDLE OF ENERGY(B279),Z Purton,D J Hall,123,1151,5,1,5 5 6 ,1:11.53,3.3,18-19-14,Class 4,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
7,7,MAJESTIC ENDEAVO-1(A399),C Schofield,C Fownes,121,1149,9,2-1/2,8 9 7 ,1:11.77,14,18-19-14,Class 4,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
8,6,LONDON MASTER(T345),C Murray,D E Ferraris,123,1085,2,2-3/4,6 6 8 ,1:11.81,9.4,18-19-14,Class 4,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
9,2,SUNNY DRAGON(V412),M L Yeung,R Gibson,127,1198,6,5-1/2,3 3 9 ,1:12.22,19,18-19-14,Class 4,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
10,9,CO-1T RULER(B255),W M Lai,M J Freedman    ,119,1077,4,7-3/4,10 10 10 ,1:12.60,160,18-19-14,Class 4,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"

1,9,ASSOCIATION FANS(V207),M Chadwick,L Ho,117,1146,5,-,5 5 6 1 ,1:41.60,22,18-19-15,Class 4,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
