Pla,Loc,Track,Going,Dist,Draw,JW,AW,Time,WOdd
1,0,0,1,1200,9,123,1056,71.65,25.0
2,0,0,1,1200,1,120,1086,71.73,2.6
3,0,0,1,1200,3,115,1155,71.83,6.2
4,0,0,1,1200,10,125,992,71.86,10.0
5,0,0,1,1200,5,125,1173,72.03,4.7
6,0,0,1,1200,2,122,1144,72.13,8.5
7,0,0,1,1200,8,125,1086,72.37,11.0
8,0,0,1,1200,4,118,1220,72.45,15.0
9,0,0,1,1200,6,119,1051,72.52,26.0
10,0,0,1,1200,7,123,988,76.11,90.0
1,0,0,1,1000,8,124,1172,58.18,17.0
2,0,0,1,1000,10,133,1252,58.39,12.0
3,0,0,1,1000,5,115,1010,58.59,22.0
4 ,0,0,1,1000,4,133,1081,58.65,8.3
4 ,0,0,1,1000,7,125,1068,58.65,3.0
6,0,0,1,1000,9,118,1155,58.8,27.0
7,0,0,1,1000,6,115,1170,58.82,10.0
8,0,0,1,1000,3,110,1233,58.99,16.0
9,0,0,1,1000,1,126,1133,59.07,51.0
10,0,0,1,1000,2,119,1080,59.13,2.7
1,0,0,1,1200,1,116,1105,71.36,13.0
2,0,0,1,1200,7,124,1105,71.36,9.6
3,0,0,1,1200,8,120,1125,71.44,4.6
4,0,0,1,1200,10,123,1045,71.46,10.0
5,0,0,1,1200,3,120,1149,71.51,5.2
6,0,0,1,1200,5,123,1151,71.53,3.3
7,0,0,1,1200,9,121,1149,71.77,14.0
8,0,0,1,1200,2,123,1085,71.81,9.4
9,0,0,1,1200,6,127,1198,72.22,19.0
10,0,0,1,1200,4,119,1077,72.6,160.0
1,0,0,1,1650,5,117,1146,101.6,22.0
2,0,0,1,1650,6,120,1120,101.67,5.5
3,0,0,1,1650,10,114,1067,101.74,5.7
4,0,0,1,1650,4,120,1012,101.89,14.0
5,0,0,1,1650,7,124,1056,101.89,3.2
6,0,0,1,1650,9,117,1024,102.0,42.0
7,0,0,1,1650,1,133,1107,102.1,8.8
8,0,0,1,1650,3,129,1104,102.2,10.0
9,0,0,1,1650,8,124,1092,102.29,6.4
10,0,0,1,1650,2,121,1128,102.74,20.0
1,0,0,1,1200,1,110,1135,70.71,2.7
2,0,0,1,1200,5,130,1198,70.82,12.0
3,0,0,1,1200,2,127,1100,70.84,3.9
4,0,0,1,1200,10,124,1045,71.07,18.0
5,0,0,1,1200,3,133,1143,71.14,25.0
6,0,0,1,1200,4,122,1285,71.16,10.0
7,0,0,1,1200,7,113,1043,71.22,23.0
8,0,0,1,1200,8,117,992,71.29,5.9
9,0,0,1,1200,11,122,1117,71.57,19.0
10,0,0,1,1200,9,122,1079,71.7,34.0
11,0,0,1,1200,6,117,1171,73.8,40.0
-1,0,0,1,1200,0,119,0,0,-1
1,0,0,1,1650,8,120,1241,100.37,2.0
2,0,0,1,1650,2,115,1120,100.65,13.0
3,0,0,1,1650,7,118,1117,100.75,6.7
4,0,0,1,1650,11,115,1084,100.98,21.0
5,0,0,1,1650,1,131,1214,101.05,11.0
6,0,0,1,1650,9,121,1059,101.13,17.0
7,0,0,1,1650,5,122,1044,101.28,12.0
8,0,0,1,1650,4,116,1113,101.32,37.0
9,0,0,1,1650,10,117,1129,101.63,11.0
10,0,0,1,1650,3,114,1166,101.76,33.0
11,0,0,1,1650,6,128,1205,103.08,13.0
1,0,0,1,1200,3,117,1214,70.67,4.6
2,0,0,1,1200,1,127,1090,70.68,2.5
3,0,0,1,1200,7,119,1115,70.84,21.0
4,0,0,1,1200,2,118,1135,70.88,35.0
5,0,0,1,1200,11,130,1051,70.91,17.0
6,0,0,1,1200,9,114,1142,70.92,15.0
7,0,0,1,1200,4,118,1181,70.97,12.0
8,0,0,1,1200,5,128,1065,71.14,25.0
9,0,0,1,1200,8,124,1138,71.24,8.0
10,0,0,1,1200,6,123,1006,71.3,6.8
11,0,0,1,1200,10,116,1130,72.21,62.0
1,0,0,2,1200,9,128,1093,71.35,10.0
2,0,0,2,1200,12,116,1125,71.36,9.5
3,0,0,2,1200,2,119,1071,71.45,47.0
4,0,0,2,1200,3,132,1130,71.63,8.3
5,0,0,2,1200,6,119,1071,71.69,26.0
6,0,0,2,1200,11,122,1085,71.77,3.4
7,0,0,2,1200,4,129,1025,71.85,8.7
8,0,0,2,1200,10,112,1066,71.87,28.0
9,0,0,2,1200,7,125,1060,71.88,6.4
10,0,0,2,1200,5,118,1112,71.9,27.0
11,0,0,2,1200,1,133,1171,71.99,5.5
12,0,0,2,1200,8,127,1165,74.34,62.0
1,0,0,2,1650,5,114,1063,99.89,9.6
2,0,0,2,1650,9,132,1116,99.96,4.1
3,0,0,2,1650,6,119,1085,100.3,7.7
4,0,0,2,1650,4,128,1153,100.35,7.8
5,0,0,2,1650,8,124,972,100.43,14.0
6,0,0,2,1650,3,116,1162,100.58,9.7
7,0,0,2,1650,7,126,1159,100.63,8.0
8,0,0,2,1650,1,123,1203,100.66,4.3
9,0,0,2,1650,2,118,1176,100.78,12.0
1,0,0,2,1200,3,126,1159,70.42,11.0
2,0,0,2,1200,6,111,1135,70.75,8.2
3,0,0,2,1200,4,115,1091,70.76,7.4
4,0,0,2,1200,5,126,1177,70.95,12.0
5,0,0,2,1200,2,133,1140,70.97,7.1
6,0,0,2,1200,1,131,1120,70.97,2.1
7,0,0,2,1200,8,119,1149,71.02,27.0
8,0,0,2,1200,7,120,1018,71.07,31.0
9,0,0,2,1200,10,124,1113,71.19,21.0
10,0,0,2,1200,9,109,1057,71.4,69.0
11,0,0,2,1200,12,128,1080,71.63,32.0
12,0,0,2,1200,11,125,1030,71.86,72.0
1,0,0,2,1650,3,132,1009,100.62,2.8
2,0,0,2,1650,2,118,970,101.03,7.3
3,0,0,2,1650,11,126,1160,101.06,12.0
4,0,0,2,1650,5,133,1250,101.11,9.8
5,0,0,2,1650,4,113,1081,101.26,65.0
6,0,0,2,1650,1,125,999,101.28,43.0
7,0,0,2,1650,9,113,1133,101.45,10.0
8,0,0,2,1650,10,120,1030,101.46,6.7
9 ,0,0,2,1650,6,128,1073,101.59,47.0
9 ,0,0,2,1650,8,125,1064,101.59,24.0
11,0,0,2,1650,7,131,1105,101.6,6.9
12,0,0,2,1650,12,132,1153,101.94,17.0
1,0,0,2,1000,5,123,1136,57.73,7.9
2,0,0,2,1000,10,116,1163,57.84,17.0
3,0,0,2,1000,4,125,1123,57.88,5.7
4,0,0,2,1000,11,111,1160,58.07,5.9
5,0,0,2,1000,6,124,1167,58.09,16.0
6,0,0,2,1000,8,133,1020,58.15,9.5
7,0,0,2,1000,3,125,1124,58.15,25.0
8,0,0,2,1000,9,114,1124,58.18,12.0
9,0,0,2,1000,7,125,1170,58.18,12.0
10,0,0,2,1000,1,130,1118,58.2,3.4
11,0,0,2,1000,2,114,1267,58.29,31.0
1,0,0,2,1200,3,121,1133,70.12,3.5
2,0,0,2,1200,8,116,1085,70.27,28.0
3,0,0,2,1200,10,110,1055,70.32,9.0
4,0,0,2,1200,5,124,1075,70.41,9.5
5,0,0,2,1200,1,120,1049,70.47,12.0
6,0,0,2,1200,4,123,1181,70.51,5.7
7,0,0,2,1200,9,127,1145,70.55,6.0
8,0,0,2,1200,2,133,1170,70.58,13.0
9,0,0,2,1200,12,133,1020,70.67,40.0
10,0,0,2,1200,6,119,1159,70.78,59.0
11,0,0,2,1200,11,116,1044,70.87,57.0
12,0,0,2,1200,7,122,1139,71.02,8.3
1,0,0,2,1650,6,119,1048,100.18,6.1
2,0,0,2,1650,11,124,1083,100.3,4.0
3,0,0,2,1650,12,116,1135,100.4,15.0
4,0,0,2,1650,7,121,1095,100.43,28.0
5,0,0,2,1650,2,116,1098,100.76,41.0
6,0,0,2,1650,9,111,1066,100.76,13.0
7,0,0,2,1650,1,117,1253,100.78,4.0
8,0,0,2,1650,5,133,970,100.84,18.0
9,0,0,2,1650,3,128,1100,100.86,12.0
10,0,0,2,1650,4,115,1237,101.23,45.0
11,0,0,2,1650,10,119,988,101.4,15.0
12,0,0,2,1650,8,128,1125,101.56,7.7
1,0,0,2,1800,8,121,1023,111.0,5.0
2,0,0,2,1800,3,133,1171,111.18,5.6
3,0,0,2,1800,7,127,1165,111.23,13.0
4,0,0,2,1800,9,130,1054,111.3,14.0
5,0,0,2,1800,4,129,1161,111.54,3.7
6,0,0,2,1800,12,122,988,111.7,11.0
7,0,0,2,1800,2,133,1035,111.76,17.0
8,0,0,2,1800,5,122,1057,111.9,13.0
9,0,0,2,1800,10,114,1167,112.14,59.0
10,0,0,2,1800,1,117,1116,112.15,12.0
11,0,0,2,1800,6,122,1032,112.32,13.0
12,0,0,2,1800,11,129,1017,113.46,25.0
1,0,0,2,1200,11,123,1116,69.98,10.0
2,0,0,2,1200,8,127,1062,70.03,12.0
3,0,0,2,1200,10,115,1011,70.28,17.0
4,0,0,2,1200,12,122,1110,70.35,22.0
5,0,0,2,1200,5,119,1188,70.47,10.0
6,0,0,2,1200,1,127,1090,70.47,20.0
7,0,0,2,1200,9,123,1091,70.47,38.0
8,0,0,2,1200,2,123,1059,70.66,10.0
9,0,0,2,1200,4,113,1033,70.78,19.0
10,0,0,2,1200,6,121,1067,70.85,5.3
11,0,0,2,1200,7,133,1040,71.08,4.4
12,0,0,2,1200,3,125,1022,71.29,4.9
1,0,0,2,1200,2,125,1086,69.65,2.2
2,0,0,2,1200,8,121,1154,70.18,23.0
3,0,0,2,1200,5,118,1155,70.23,11.0
4,0,0,2,1200,12,119,1199,70.24,12.0
5,0,0,2,1200,3,111,1034,70.34,50.0
6,0,0,2,1200,4,122,1130,70.43,8.9
7,0,0,2,1200,10,126,1030,70.47,7.4
8,0,0,2,1200,1,113,1083,70.48,289.0
9,0,0,2,1200,6,125,1042,70.51,5.7
10,0,0,2,1200,11,133,1207,70.66,18.0
11,0,0,2,1200,7,129,1092,70.81,23.0
12,0,0,2,1200,9,118,1052,72.66,247.0
1,0,0,2,1650,8,124,1044,99.67,2.4
2,0,0,2,1650,9,115,1277,99.93,4.9
3,0,0,2,1650,3,117,1185,100.03,22.0
4,0,0,2,1650,6,114,1110,100.07,39.0
5,0,0,2,1650,5,130,1046,100.16,5.5
6,0,0,2,1650,10,133,1148,100.46,21.0
7,0,0,2,1650,2,114,1265,100.55,23.0
8,0,0,2,1650,1,123,1122,100.57,14.0
9,0,0,2,1650,7,117,1137,100.63,8.6
10,0,0,2,1650,4,120,1081,103.65,14.0
1,0,0,2,1650,3,122,1169,101.22,7.0
2,0,0,2,1650,6,124,1109,101.51,24.0
3,0,0,2,1650,5,116,1090,101.59,7.0
4,0,0,2,1650,4,123,1139,101.66,12.0
5,0,0,2,1650,11,124,1056,101.68,11.0
6,0,0,2,1650,12,124,1107,101.73,25.0
7,0,0,2,1650,1,123,1169,101.75,14.0
8,0,0,2,1650,10,120,1145,101.75,3.4
9,0,0,2,1650,8,122,1121,101.82,6.3
10,0,0,2,1650,2,123,1043,101.99,26.0
11,0,0,2,1650,7,121,1110,102.01,33.0
12,0,0,2,1650,9,130,1085,102.55,10.0
1,0,0,2,1200,1,111,1156,69.69,5.3
2,0,0,2,1200,3,123,1188,69.73,7.4
3,0,0,2,1200,8,124,1177,69.91,6.5
4,0,0,2,1200,5,117,1142,70.02,7.2
5,0,0,2,1200,7,122,1149,70.16,5.7
6,0,0,2,1200,9,111,1047,70.47,12.0
7,0,0,2,1200,2,129,1040,70.52,47.0
8,0,0,2,1200,11,118,1145,70.7,161.0
9,0,0,2,1200,6,133,1179,70.98,11.0
10,0,0,2,1200,4,127,1052,70.99,6.6
11,0,0,2,1200,12,109,1043,71.29,96.0
12,0,0,2,1200,10,120,1161,71.91,14.0
1,0,0,2,1200,4,111,1112,69.74,5.9
