Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds
1,4,IRON KING(C133),Z Purton,C H Yip,130,1089,10,-,9 10 1 ,1:09.83,6.1
2,3,REGENCY POET(D010),A Hamelin,K L Man,131,1235,7,2-1/4,5 5 2 ,1:10.18,9.1
3,12,ONE STEP AHEAD(C242),V Borges,P O'Sullivan,121,995,11,2-1/4,12 11 3 ,1:10.20,22
4,9,TIGER GLARE(D290),K C Leung,L Ho,128,1043,3,2-1/2,7 7 4 ,1:10.22,38
5,11,WHO'S HORSE(C233),R Maia,A S Cruz,122,1126,2,3,4 3 5 ,1:10.31,14
6,8,THE ABRAXAS(C212),H N Wong,Y S Tsui,125,1184,6,3,1 1 6 ,1:10.33,7.4
7,2,ALLOY KING(D287),C Y Ho,K H Ting,131,1052,8,3-1/4,8 9 7 ,1:10.37,11
8,13,THE FULL BLOOM(V243),M F Poon,D J Hall,119,1106,4,3-1/2,6 8 8 ,1:10.38,9.4
9,10,ALLOY STAR(D053),M Chadwick,T P Yung,124,1048,12,3-1/2,13 13 9 ,1:10.39,14
10,6,SPICY GRILL(D159),K Teetan,K W Lui,129,964,14,3-1/2,10 6 10 ,1:10.40,11
11,5,MONEYMORE(B182),M L Yeung,D A Hayes,129,1080,5,5,3 4 11 ,1:10.62,7.8
12,7,SUPER EIGHTEEN(A323),B Shinn,A T Millard,128,1253,1,6,2 2 12 ,1:10.80,10
13,1,ANONYMA(C496),J Moreira,D E Ferraris,133,1060,13,9-1/4,14 14 13 ,1:11.30,12
14,14,CHARITYDREAM(B334),H T Mo,C W Chang,116,1113,9,10-1/4,11 12 14 ,1:11.46,112
