
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,3,SMILING PRIDE(A344),A Badel,K H Ting,131,1212,5,-,4 4 4 1 ,1:34.61,2.8,20-21-301,Class 4,ST,1600M,GOOD,"TURF - ""C"" Course"
2,6,GOLD VELVET(V400),S de Sousa,A T Millard,121,1151,8,3,2 2 3 2 ,1:35.10,7,20-21-301,Class 4,ST,1600M,GOOD,"TURF - ""C"" Course"
3,9,MANAGEMENT STAR(B006),C Y Ho,K W Lui,116,1096,4,3-3/4,6 7 7 3 ,1:35.22,11,20-21-301,Class 4,ST,1600M,GOOD,"TURF - ""C"" Course"
4,4,WINWIN RUBY(A120),K C Leung,K L Man,130,1039,6,4,1 1 1 4 ,1:35.25,17,20-21-301,Class 4,ST,1600M,GOOD,"TURF - ""C"" Course"
5,8,GODSPEED(A087),K Teetan,D J Hall,118,1112,1,5-1/4,3 5 5 5 ,1:35.44,3.5,20-21-301,Class 4,ST,1600M,GOOD,"TURF - ""C"" Course"
6,1,ENORMOUS HONOUR(T236),M F Poon,Y S Tsui,129,1167,9,6,5 3 2 6 ,1:35.59,24,20-21-301,Class 4,ST,1600M,GOOD,"TURF - ""C"" Course"
7,5,CHIU CHOW KID(T412),U Rispoli,T P Yung,122,1191,2,7,7 6 6 7 ,1:35.75,8.6,20-21-301,Class 4,ST,1600M,GOOD,"TURF - ""C"" Course"
8,7,GORGEOUS AGAIN(V326),C Wong,C S Shum,114,1088,7,10-1/4,9 9 9 8 ,1:36.26,45,20-21-301,Class 4,ST,1600M,GOOD,"TURF - ""C"" Course"
9,2,HAY RUN(V337),D Whyte,L Ho,131,1109,3,11-3/4,8 8 8 9 ,1:36.49,9.4,20-21-301,Class 4,ST,1600M,GOOD,"TURF - ""C"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,6,MONEY WINNER(A055),Z Purton,Y S Tsui,125,1006,11,-,10 10 7 1 ,1:35.75,5.9,20-21-302,Class 5,ST,1600M,GOOD,"TURF - ""C"" Course"
2,4,INDIGENOUS STAR(A081),K C Leung,P F Yiu,131,1040,7,1-1/4,7 7 4 2 ,1:35.93,7.5,20-21-302,Class 5,ST,1600M,GOOD,"TURF - ""C"" Course"
3,2,DASHING DART(V038),J Moreira,P O'Sullivan,133,1215,9,1-1/2,9 8 3 3 ,1:35.97,2.8,20-21-302,Class 5,ST,1600M,GOOD,"TURF - ""C"" Course"
4,10,LITTLE FANTASY(T298),S de Sousa,K L Man,114,1230,10,1-1/2,5 2 2 4 ,1:35.97,7.7,20-21-302,Class 5,ST,1600M,GOOD,"TURF - ""C"" Course"
5,3,YOUNG GLORY(B292),H N Wong,D E Ferraris,129,1196,6,2,11 11 10 5 ,1:36.08,23,20-21-302,Class 5,ST,1600M,GOOD,"TURF - ""C"" Course"
6,1,ADONIS(A324),M F Poon,L Ho,130,1047,8,3-1/4,1 1 1 6 ,1:36.25,7.3,20-21-302,Class 5,ST,1600M,GOOD,"TURF - ""C"" Course"
7,8,LAUGH OUT LOUD(P297),U Rispoli,K L Man,122,1152,2,3-3/4,6 6 9 7 ,1:36.33,23,20-21-302,Class 5,ST,1600M,GOOD,"TURF - ""C"" Course"
8,5,BEST EFFORT(T220),C Y Ho,C Fownes,125,962,3,4-1/4,4 4 6 8 ,1:36.44,11,20-21-302,Class 5,ST,1600M,GOOD,"TURF - ""C"" Course"
9,7,THE INVINCIBLE(A191),C Schofield,W Y So,125,1076,1,5-3/4,3 5 8 9 ,1:36.67,29,20-21-302,Class 5,ST,1600M,GOOD,"TURF - ""C"" Course"
10,11,TRIUMPH(A105),H T Mo,C W Chang,108,1127,5,6-1/4,8 9 11 10 ,1:36.74,26,20-21-302,Class 5,ST,1600M,GOOD,"TURF - ""C"" Course"
11,9,OTOUTO(V074),K Teetan,A T Millard,121,1078,4,6-1/4,2 3 5 11 ,1:36.75,21,20-21-302,Class 5,ST,1600M,GOOD,"TURF - ""C"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,1,HARD PROMISE(A373),S de Sousa,T P Yung,133,1120,7,-,1 1 1 ,1:09.41,3.7,20-21-303,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
2,11,BINGO(A301),C Wong,J Moore,113,1184,2,2,2 2 2 ,1:09.72,10,20-21-303,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
3,9,GRACIOUS RYDER(A179),C Schofield,D J Hall,122,1082,3,5,8 6 3 ,1:10.20,5.3,20-21-303,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
4,10,YOUNG EMPIRE(V116),H T Mo,W Y So,117,1033,5,5-1/2,4 3 4 ,1:10.27,28,20-21-303,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
5,6,MR DARTHVEGAR(C032),Z Purton,R Gibson,126,1165,11,5-3/4,9 9 5 ,1:10.31,2.5,20-21-303,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
6,2,REGENCY DARLING(T138),M Chadwick,K L Man,130,1249,6,6-1/4,5 5 6 ,1:10.40,10,20-21-303,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
7,7,MR MAGELLAN(C008),H N Wong,Y S Tsui,123,1127,1,6-3/4,6 7 7 ,1:10.50,167,20-21-303,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
8,5,DIONYSUS COLLIN(B436),C Y Ho,K W Lui,124,1097,9,8-1/4,12 12 8 ,1:10.72,85,20-21-303,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
9,12,HK TOURBILLON(B140),M F Poon,P F Yiu,115,1118,10,9,11 11 9 ,1:10.84,97,20-21-303,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
10,8,TRIUMPHANT LORD(C101),K Teetan,C S Shum,126,1169,8,9-1/2,7 8 10 ,1:10.91,63,20-21-303,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
11,3,BURST AWAY(A001),D Whyte,D E Ferraris,128,1086,12,11,3 4 11 ,1:11.17,15,20-21-303,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
12,4,KING MORTAR(A097),A Sanna,L Ho,127,1131,4,11,10 10 12 ,1:11.19,31,20-21-303,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,5,FULL OF BEAUTY(C003),J Moreira,J Size,125,1176,4,-,3 3 1 ,1:09.88,2.5,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
2,2,LAKESHORE EAGLE(B391),D Whyte,W Y So,131,1068,7,SH,11 10 2 ,1:09.89,4.5,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
3,10,RED HORSE(V334),W M Lai,C H Yip,120,1210,3,2-1/4,9 9 3 ,1:10.22,24,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
4,6,THIS IS CLASS(B420),M L Yeung,K W Lui,123,1192,8,2-1/2,1 1 4 ,1:10.29,79,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
5,4,COOLCELEB(C030),U Rispoli,T P Yung,125,1275,2,4-1/2,4 4 5 ,1:10.58,46,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
