Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,6,LE PANACHE(V369),D Whyte,T P Yung,119,1088,1,-,6 6 5 1 ,1:34.38,5.1,18-19-2,Class 5,ST,1600M,GOOD,"TURF - ""B"" Course"
2,8,SPORTS MASTER(A311),Z Purton,P F Yiu,120,1160,4,4,5 5 3 2 ,1:35.03,2.4,18-19-2,Class 5,ST,1600M,GOOD,"TURF - ""B"" Course"
3,10,THE SHOW(T256),U Rispoli,C H Yip,118,1086,2,5,3 3 4 3 ,1:35.21,8.4,18-19-2,Class 5,ST,1600M,GOOD,"TURF - ""B"" Course"
4,7,LUCKY STORM(B124),H T Mo,C S Shum,114,1134,10,5-3/4,1 1 1 4 ,1:35.30,23,18-19-2,Class 5,ST,1600M,GOOD,"TURF - ""B"" Course"
5,2,KWAICHUNG BROTHERS(A012),K C Leung,R Gibson,121,1165,9,5-3/4,10 10 7 5 ,1:35.31,21,18-19-2,Class 5,ST,1600M,GOOD,"TURF - ""B"" Course"
6,3,PROUD SKY(V406),K Teetan,L Ho,121,1070,3,7,7 7 8 6 ,1:35.50,14,18-19-2,Class 5,ST,1600M,GOOD,"TURF - ""B"" Course"
7,1,TRIUMPHANT LIGHT(T224),N Callan,D E Ferraris,125,1060,5,7-3/4,2 2 2 7 ,1:35.61,30,18-19-2,Class 5,ST,1600M,GOOD,"TURF - ""B"" Course"
8,5,SUNNY ORIENT(V302),C Murray,A T Millard,120,1151,8,9-1/4,9 8 9 8 ,1:35.86,20,18-19-2,Class 5,ST,1600M,GOOD,"TURF - ""B"" Course"
9,9,WONDERFUL CHASER(V258),G van Niekerk,K W Lui,119,1158,6,9-1/2,8 9 10 9 ,1:35.90,11,18-19-2,Class 5,ST,1600M,GOOD,"TURF - ""B"" Course"
10,4,BEST EFFORT(T220),M L Yeung,C Fownes,118,980,7,13-1/4,4 4 6 10 ,1:36.48,6.7,18-19-2,Class 5,ST,1600M,GOOD,"TURF - ""B"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,2,WINNER'S WAY(A025),Z Purton,A S Cruz,130,1109,4,-,5 5 1 ,1:08.27,3.3,18-19-3,Class 1,ST,1200M,GOOD,"TURF - ""B"" Course"
2,3,BORN IN CHINA(T103),D Whyte,K W Lui,123,1082,7,N,7 6 2 ,1:08.34,7.7,18-19-3,Class 1,ST,1200M,GOOD,"TURF - ""B"" Course"
3,7,WISHFUL THINKER(B180),K Teetan,R Gibson,113,1175,2,2-1/2,6 7 3 ,1:08.67,4.2,18-19-3,Class 1,ST,1200M,GOOD,"TURF - ""B"" Course"
4,6,CALIFORNIA FORTUNE(A415),K C Ng,A S Cruz,110,1261,3,3,1 1 4 ,1:08.74,18,18-19-3,Class 1,ST,1200M,GOOD,"TURF - ""B"" Course"
5,1,SOUTHERN LEGEND(A252),C Schofield,C Fownes,133,1149,1,5-3/4,4 4 5 ,1:09.19,9.9,18-19-3,Class 1,ST,1200M,GOOD,"TURF - ""B"" Course"
6,5,JUMBO LUCK(V068),M L Yeung,K W Lui,111,1191,6,6-1/4,3 3 6 ,1:09.27,4,18-19-3,Class 1,ST,1200M,GOOD,"TURF - ""B"" Course"
7,4,FABULOUS ONE(T005),H N Wong,W Y So,110,1137,5,9,2 2 7 ,1:09.70,7.1,18-19-3,Class 1,ST,1200M,GOOD,"TURF - ""B"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,13,RICHCITY FORTUNE(V088),C Wong,K H Ting,107,1159,7,-,7 7 1 ,1:09.69,8.2,18-19-4,Class 5,ST,1200M,GOOD,"TURF - ""B"" Course"
2,11,SEA PEARL(B142),N Callan,J Moore,121,1037,3,SH,6 4 2 ,1:09.70,31,18-19-4,Class 5,ST,1200M,GOOD,"TURF - ""B"" Course"
3,2,NATURAL FLARE(A340),D Whyte,K L Man,132,1144,11,2,3 3 3 ,1:10.00,10,18-19-4,Class 5,ST,1200M,GOOD,"TURF - ""B"" Course"
4,8,VICTOR EMPEROR(S425),Z Purton,C H Yip,124,1143,5,2-1/2,4 5 4 ,1:10.09,3.4,18-19-4,Class 5,ST,1200M,GOOD,"TURF - ""B"" Course"
5,12,CORRE RAPIDO(A053),C Murray,R Gibson,120,1147,1,3-1/4,8 8 5 ,1:10.22,22,18-19-4,Class 5,ST,1200M,GOOD,"TURF - ""B"" Course"
6,5,OTOUTO(V074),K Teetan,A T Millard,128,1072,13,4,9 9 6 ,1:10.31,11,18-19-4,Class 5,ST,1200M,GOOD,"TURF - ""B"" Course"
7,4,MULTIMAX(T129),K C Ng,A S Cruz,125,1140,2,5-1/4,2 1 7 ,1:10.53,9.4,18-19-4,Class 5,ST,1200M,GOOD,"TURF - ""B"" Course"
8,6,ROCHFORD(A208),W M Lai,L Ho,126,1194,12,6-1/2,1 2 8 ,1:10.73,30,18-19-4,Class 5,ST,1200M,GOOD,"TURF - ""B"" Course"
9,9,REGENCY HONEY(A059),H T Mo,C S Shum,118,1060,9,6-1/2,5 6 9 ,1:10.73,14,18-19-4,Class 5,ST,1200M,GOOD,"TURF - ""B"" Course"
10,7,THE INVINCIBLE(A191),C Schofield,W Y So,126,1066,4,7-1/4,11 12 10 ,1:10.84,22,18-19-4,Class 5,ST,1200M,GOOD,"TURF - ""B"" Course"
11,10,EXPONENTS(A031),H N Wong,Y S Tsui,119,1144,6,7-3/4,14 13 11 ,1:10.91,3.9,18-19-4,Class 5,ST,1200M,GOOD,"TURF - ""B"" Course"
12,14,ELITE POWER(B059),G van Niekerk,D E Ferraris,115,1149,10,8,12 11 12 ,1:10.96,122,18-19-4,Class 5,ST,1200M,GOOD,"TURF - ""B"" Course"
