,Pla,Loc,Track,Going,Dist,Draw,JW,AW,Time,WOdd,Class
0,1,0,0,2,1600,1,119,1088,94.38,5.1,5
1,2,0,0,2,1600,4,120,1160,95.03,2.4,5
2,3,0,0,2,1600,2,118,1086,95.21,8.4,5
3,4,0,0,2,1600,10,114,1134,95.3,23.0,5
4,5,0,0,2,1600,9,121,1165,95.31,21.0,5
5,6,0,0,2,1600,3,121,1070,95.5,14.0,5
6,7,0,0,2,1600,5,125,1060,95.61,30.0,5
7,8,0,0,2,1600,8,120,1151,95.86,20.0,5
8,9,0,0,2,1600,6,119,1158,95.9,11.0,5
9,10,0,0,2,1600,7,118,980,96.48,6.7,5
10,1,0,0,2,1200,4,130,1109,68.27,3.3,1
11,2,0,0,2,1200,7,123,1082,68.34,7.7,1
12,3,0,0,2,1200,2,113,1175,68.67,4.2,1
13,4,0,0,2,1200,3,110,1261,68.74,18.0,1
14,5,0,0,2,1200,1,133,1149,69.19,9.9,1
15,6,0,0,2,1200,6,111,1191,69.27,4.0,1
16,7,0,0,2,1200,5,110,1137,69.7,7.1,1
17,1,0,0,2,1200,7,107,1159,69.69,8.2,5
18,2,0,0,2,1200,3,121,1037,69.7,31.0,5
19,3,0,0,2,1200,11,132,1144,70.0,10.0,5
20,4,0,0,2,1200,5,124,1143,70.09,3.4,5
21,5,0,0,2,1200,1,120,1147,70.22,22.0,5
22,6,0,0,2,1200,13,128,1072,70.31,11.0,5
23,7,0,0,2,1200,2,125,1140,70.53,9.4,5
24,8,0,0,2,1200,12,126,1194,70.73,30.0,5
25,9,0,0,2,1200,9,118,1060,70.73,14.0,5
26,10,0,0,2,1200,4,126,1066,70.84,22.0,5
27,11,0,0,2,1200,6,119,1144,70.91,3.9,5
28,12,0,0,2,1200,10,115,1149,70.96,122.0,5
29,13,0,0,2,1200,8,128,1116,71.05,57.0,5
30,14,0,0,2,1200,14,133,1135,71.5,118.0,5
31,1,0,0,2,1200,9,127,1094,69.71,1.8,4
32,2,0,0,2,1200,3,124,1150,69.84,27.0,4
33,3,0,0,2,1200,7,118,1119,69.95,10.0,4
34,4,0,0,2,1200,2,123,1138,69.99,29.0,4
35,5,0,0,2,1200,5,118,1065,70.19,14.0,4
36,6,0,0,2,1200,8,133,1186,70.27,6.5,4
37,7,0,0,2,1200,1,126,1041,70.27,14.0,4
38,8,0,0,2,1200,11,127,1082,70.45,22.0,4
39,9,0,0,2,1200,12,120,1088,70.62,31.0,4
40,10,0,0,2,1200,6,110,1082,70.82,16.0,4
41,11,0,0,2,1200,13,115,1220,70.89,89.0,4
42,12,0,0,2,1200,10,119,1126,71.09,22.0,4
43,13,0,0,2,1200,4,130,1133,71.34,50.0,4
44,1,0,0,2,1400,1,120,1053,82.28,8.9,4
45,2,0,0,2,1400,5,129,1100,82.34,5.2,4
46,3,0,0,2,1400,7,118,1004,82.35,8.8,4
47,4,0,0,2,1400,12,122,1088,82.45,9.3,4
48,5,0,0,2,1400,3,121,1013,82.7,11.0,4
49,6,0,0,2,1400,6,126,1154,82.92,3.0,4
50,7,0,0,2,1400,2,124,1111,83.02,11.0,4
51,8,0,0,2,1400,9,118,1077,83.12,38.0,4
52,9,0,0,2,1400,11,132,1075,83.56,7.5,4
53,10,0,0,2,1400,8,121,1102,84.71,80.0,4
54,11,0,0,2,1400,10,118,1189,86.29,102.0,4
55,1,0,0,2,1000,4,116,1305,56.55,6.6,3
56,2,0,0,2,1000,3,119,1099,56.63,2.4,3
57,3,0,0,2,1000,1,130,1128,56.71,3.5,3
58,4,0,0,2,1000,2,110,1078,56.87,8.2,3
59,5,0,0,2,1000,7,120,1165,56.99,12.0,3
60,6,0,0,2,1000,8,133,1143,57.08,16.0,3
61,7,0,0,2,1000,6,113,1194,57.44,12.0,3
62,8,0,0,2,1000,5,113,1173,58.01,35.0,3
63,1,0,0,2,1400,7,125,1117,81.86,24.0,3
64,2,0,0,2,1400,6,131,1091,81.88,50.0,3
65,3,0,0,2,1400,3,118,1156,82.22,12.0,3
66,4,0,0,2,1400,5,117,1098,82.28,9.5,3
67,5,0,0,2,1400,2,118,1125,82.31,12.0,3
68,6,0,0,2,1400,8,117,1149,82.5,2.0,3
69,7,0,0,2,1400,1,129,1039,82.51,10.0,3
70,8,0,0,2,1400,4,127,999,85.87,3.5,3
71,1,0,0,2,1200,5,127,1076,69.27,11.0,3
